Variable,Value,Units,
massConsumable,0,,
costConsumable,0.5,$/Therm,
powerConsumed,,,
costPower,0,$/kWh,
processTime,,,
wage,25,$/hour,
illness,19760000,hrs/year for 100 full time workers,
injury,197600,hrs/year for 100 full time workers,
illnessDaysLost,,,
injuryDaysLost,,,
waterRate,,,
energyCost,,,
waterCost,,,
RateCO2,1544,,
RateCH4,0.0238,,
GWPCH4,25,GWP,
RateN2O,0.0283,kg/10^6 m^3 CH4,
GWPN2O,298,GWP,
Rland,0.3,ratio of landfilled shot,
Rinc,,,
Rrec,0.3,ratio of recycled shot,
Rhaz,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
